course_title,url,price,reviews,duration,Lectures,course level,subject
Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,200,23,1.5 hours,51,All Levels,Business Finance
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,75,923,39 hours,274,All Levels,Business Finance
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,74,2.5 hours,51,Intermediate Level,Business Finance
Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,11,3 hours,36,All Levels,Business Finance
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,45,2 hours,26,Intermediate Level,Business Finance
Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,138,3 hours,25,All Levels,Business Finance
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,178,1 hour,26,Beginner Level,Business Finance
"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,148,2.5 hours,23,All Levels,Business Finance
Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,195,34,2.5 hours,38,Expert Level,Business Finance
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,14,1 hour,15,All Levels,Business Finance
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,93,5 hours,76,All Levels,Business Finance
Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,200,42,1 hour,17,All Levels,Business Finance
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,30,21,1.5 hours,19,All Levels,Business Finance
Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,195,52,2 hours,16,All Levels,Business Finance
Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,200,19,7 hours,42,All Levels,Business Finance
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,106,1.5 hours,19,Intermediate Level,Business Finance
Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,20,79,1.5 hours,16,Beginner Level,Business Finance
The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,200,115,4 hours,52,All Levels,Business Finance
7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,50,24,1.5 hours,23,All Levels,Business Finance
Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,249,35 mins,12,Beginner Level,Business Finance
Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,200,3,2 hours,25,All Levels,Business Finance
Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,200,84,4 hours,39,All Levels,Business Finance
Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,83,2 hours,16,All Levels,Business Finance
Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,50,38,1 hour,23,Beginner Level,Business Finance
The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,45,333,2 hours,40,All Levels,Business Finance
Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,150,518,5 hours,50,All Levels,Business Finance
Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,200,373,4.5 hours,42,All Levels,Business Finance
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,175,237,2 hours,25,Intermediate Level,Business Finance
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,150,103,4.5 hours,81,All Levels,Business Finance
Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,140,25,3 hours,37,Beginner Level,Business Finance
Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,95,21,2.5 hours,41,Beginner Level,Business Finance
THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,200,171,1.5 hours,35,All Levels,Business Finance
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,45,449,6.5 hours,80,All Levels,Business Finance
Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,200,11,2 hours,22,All Levels,Business Finance
The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,200,12,1.5 hours,28,All Levels,Business Finance
