,id,url,is_paid,professor,num_subscribers,course_title,price,description
29,806922,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,True,Mosh Hamedani,16195,The Complete ASPNET MVC 5 Course,190,ASP.NET MVC is a server-sideÂ web framework for building dynamic data-driven webÂ applications. Since its first release in  it has gained a lot of popularity amongst developers using Microsoft technologies. If you want to get employed as a web developer at a company that utilizes Microsoft technologies you need to masterÂ ASP.NETÂ MVC.
30,203556,https://www.udemy.com/course/sql-for-newbs/,True,A Course You'll Actually Finish,26284,SQL for Newbs Data Analysis for Beginners,200,Buff up your resume/CV andÂ become interview-ready by learning real-world SQL in this course.
31,1000574,https://www.udemy.com/course/the-complete-developers-guide-to-mongodb/,True,Stephen Grider,7900,The Complete Developers Guide to MongoDB,150,MongoDB is theÂ hottest database solution in the tech world right now able to power anything from your growing personal project to an enterprise infrastructure.
32,622414,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,True,Frank Kane,14592,Taming Big Data with Apache Spark and Python  Hands On,100,New!Â Updated for Spark ..
33,852192,https://www.udemy.com/course/chris-anderson-on-public-speaking/,True,+Acumen Courses,17764,Acumen Presents Chris Anderson on Public Speaking,100,A carefully crafted talk can be the key to unlocking empathy stirring excitement spreading knowledge and promoting a shared dream.Â  As the Head of TED Chris Anderson knows this firsthand.Â  Heâs had a ringside seat listening to many hundreds of amazing TED speakers including people like Sir Ken Robinson Amy Cuddy Bill Gates Elizabeth Gilbert Salman Khan Amanda Palmer and Monica Lewinsky whose talks have been viewed millions of times. Heâs learned that a talk done right can electrify a room and transform an audienceâs worldview.
34,903378,https://www.udemy.com/course/the-python-bible/,True,Ziyad Yehia,11847,The Python Bible  Everything You Need to Program in Python,195,=========================Â TESTIMONIALSÂ ===============================
35,713104,https://www.udemy.com/course/data-science-deep-learning-in-python/,True,Lazy Programmer Inc.,11771,Data Science Deep Learning in Python,120,This course will get you started in building your FIRST artificial neural network using deep learning techniques. Following my previous course on logistic regression we take this basic building block and build full-on non-linear neural networks right out of the gate using Python and Numpy. All the materials for this course are FREE.
36,422702,https://www.udemy.com/course/aws-certified-sysops-administrator-associate/,True,Ryan Kroonenburg,29766,AWS Certified SysOps Administrator  Associate 2017,150,Amazon Web Services (AWS) Certification is fast becoming the must have certificates for any IT professional working with AWS. Are you wondering how to prepare for AWS certification? Well this course is designed to help you pass the AWS Certified SysOps Administrator Associate Exam. This course explores some of the more advanced aspects of the AWS platform from an Administrator point of view and it is recommended that you do this course after completing the AWS Certified Solutions Architect course or AWS Certified Developer Course both of which are available on Udemy and cover the basics of AWS.
37,951684,https://www.udemy.com/course/xamarin-forms-course/,True,Mosh Hamedani,8896,Xamarin Forms Build Native Crossplatform Apps with C,190,Do you have an idea for an app and want to turn that into reality?Â Well if you want to build that app for iOS you need to know Objective-C which is an old C-based language. The alternative is to learn Swift. If you want to build the same app for Android you need to learn Java. And if you want to build this app for Windows of course you need to know C#.
38,832862,https://www.udemy.com/course/meteor-react-tutorial/,True,Stephen Grider,5881,Meteor and React for Realtime Apps,140,This is the tutorial you've been looking for to master building dynamic web apps with Meteor JS with all the most important topics covered in great depth!
39,1041352,https://www.udemy.com/course/andreagassi/,True,Andre Agassi,6491,Elevate Your Tennis Game Learn from Champion Andre Agassi,100,Boost your tennis game in no time with this course from eight-time Grand Slam champion Andre Agassi. For the first time one of the gameâs all-time greats is sharing  years of tour experience to help you advance your skills and give back to the game that gave him so much.
40,1109926,https://www.udemy.com/course/graphql-with-react-course/,True,Stephen Grider,4129,GraphQL with React The Complete Developers Guide,150,Note: This course assumes you are familiar with React!
41,362328,https://www.udemy.com/course/aws-certified-solutions-architect-associate/,True,Ryan Kroonenburg,117156,AWS Certified Solutions Architect  Associate 2017,180,Are you looking for AWS Training?
42,719002,https://www.udemy.com/course/angular-2-tutorial-for-beginners/,True,Mosh Hamedani,19982,Angular 2 with TypeScript for Beginners The Pragmatic Guide,150, 
43,196152,https://www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/,True,Shani Raja,53476,Writing With Flair How To Become An Exceptional Writer,200, 
44,892806,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,True,Frank Kane,7781,Apache Spark 20 with Scala  Hands On with Big Data,100,New! Updated for Spark ...
45,642612,https://www.udemy.com/course/comptia-network-certification-n10-006-the-total-course/,True,Mike Meyers - Total Seminars,19248,CompTIA Network Cert N10006 The Total Course,195,Welcome to the CompTIA Network+ Certification; N-. The Total Course from Mike Meyers and Total Seminars.
46,946194,https://www.udemy.com/course/tableau10-advanced/,True,Kirill Eremenko,5599,Tableau 10 Advanced Training Master Tableau in Data Science,200,Ready to take your Tableau skills to the next level?
47,806626,https://www.udemy.com/course/elizabeth-gilberts-creativity-workshop/,True,+Acumen Courses,14244,Acumen Presents Elizabeth Gilberts Creativity Workshop,100, 
48,393306,https://www.udemy.com/course/aws-certified-developer-associate/,True,Ryan Kroonenburg,45332,AWS Certified Developer  Associate 2017,150,  	                Amazon Web Services - (AWS) Certification is fast becoming the must have certificate for any IT professional working with AWS. This course is designed to help you pass the AWS Certified Developer Associate (CDA) Â Exam. Even if you have never logged in to the AWS platform before by the end of our AWS training videos you will be able to take the CDA exam. No specific programming knowledge is needed (though knowing a language would be advantageous) and no prior AWS experience required. With AWS certification under your belt (and optionally after completing our AWS Certified Solutions Architect course - also available on Udemy) you will be in high demand by many employers and will command a superior salary.
49,31535,https://www.udemy.com/course/microsoft-excel-2013-course-beginners-intermediate-training/,True,Infinite Skills,32899,Microsoft Excel 2013 Course Beginners Intermediate Training,50,In this Microsoft Excel  training course expert training provider InfiniteSkills takes you through the basics of the worlds most popular spreadsheet software. Excel can be a complex and confusing program to use but this course breaks it down into bite-sized pieces and teaches it in plain English. No prior experience in Excel  or spreadsheets is required to get the most out of this Excel beginners video training.
50,922484,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,True,Andrew Mead,16969,The Complete Nodejs Developer Course 2nd Edition,85,Are you looking to create real-world Node applications? Maybe you want to switch careers or launch a side-project to generate some extra income. Either way you're in the right place.
51,614772,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,True,Nathan House,19679,The Complete Cyber Security Course  Hackers Exposed,120,nan
52,851712,https://www.udemy.com/course/the-complete-javascript-course/,True,Jonas Schmedtmann,18965,The Complete JavaScript Course Build a RealWorld Project,195, 
53,1080408,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,True,Lazy Programmer Inc.,2917,Artificial Intelligence Reinforcement Learning in Python,180,When people talk about artificial intelligence they usually donât mean supervised and unsupervised machine learning.
54,995016,https://www.udemy.com/course/vuejs-2-the-complete-guide/,True,Maximilian SchwarzmÃ¼ller,12770,Vue JS 2  The Complete Guide incl Vuex,190,Hear what students are saying about the course:
55,543600,https://www.udemy.com/course/automate/,True,Al Sweigart,47093,Automate the Boring Stuff with Python Programming,50,If you're an office worker student administrator or just want to become more productive with your computer programming will allow you write code that can automate tedious tasks. This course follows the popular (and free!) book Automate the Boring Stuff with Python.
56,878110,https://www.udemy.com/course/comptia-a-certification-902-the-total-course/,True,Mike Meyers - Total Seminars,7138,CompTIA A Certification 902 The Total Course,145,nan
57,671544,https://www.udemy.com/course/the-ultimate-google-adwords-training-course/,True,Isaac Rudansky,31868,Ultimate Google AdWords Course 2017Stop SEO  Win With PPC,195,** Updated January rd  â Includes fresh content that covers all the latest AdWords updates!! **
58,450394,https://www.udemy.com/course/learn-social-media-marketing-course/,True,SO ME Academy,28909,Social Media Marketing 2017  Complete Certificate Course,100,THE MOST COMPREHENSIVE BEST-SELLING SOCIAL MEDIA COURSE ON UDEMY - Currently being updated for . Free access to all updates for life!
59,9385,https://www.udemy.com/course/advanced-excel/,True,Infinite Skills,73255,Microsoft Excel 2010 Advanced Training,50,  	   A Verifiable Certificate of Completion is presented to all students who undertake this Excel course.
60,1105302,https://www.udemy.com/course/aws-certified-developer-associate-2017-practice-tests/,True,Ryan Kroonenburg,1878,AWS Certified Developer  Associate 2017 Practice Tests,100,These quizzes are the final step in your test preparation. They are based on the required supplementalÂ reading detailed in the A Cloud Guru AWSÂ Certified Developer - Associate course and should be taken after having finished both the video lectures and the FAQs/White Papers. As technical information is continuously updated by AWS please refer to the AWSÂ Documentation for the latest information.
61,866196,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,True,Imtiaz Ahmad,7075,The Complete Oracle SQL Certification Course,195,Get ready to acquire some seriously marketable programming skills! You can't consider yourself a complete end to end developer until you can code inÂ SQL. Today data has become the hottest topic in technology and a company's biggest asset is their data. All databases require the languageÂ SQLÂ to store and retrieve data. Salaries for junior level SQL Developers are upwards of $ - $ dollars a year! The great thing is for this course you do not need any prior experience in programming what so ever. SQL is a different animal and we're going to demystify the language from scratch and prepare you with plenty of progressively challenging assignments so that by the time you've completed the course (in  months) you can call your self anÂ OracleÂ SQL Master! Oracle is the most popular relational database in the world! This course will prepare you to be job-ready in justÂ  month of studyÂ and practice.
62,1048360,https://www.udemy.com/course/landing-page-design-best-practices/,True,Isaac Rudansky,5628,Landing Page Design  Web Design Fundamentals 2017,195,**Brand New For  - TheÂ Bestselling Landing PageÂ Design Course on Udemy**
63,164554,https://www.udemy.com/course/angularjs-jumpstart/,True,Dan Wahlin,17526,AngularJS JumpStart with Dan Wahlin,75,** Updated with new articles about getting started building custom Angular directives! All code samples provided in the course are updated to the latest . version of Angular and all concepts covered are completely valid for .. **
64,979552,https://www.udemy.com/course/pmp-exam-prep-earn-your-pmp-certification/,True,Joseph Phillips,13854,PMP Exam Prep Earn Your PMP Certification,200,This course is taught by a PMI Registered Education Provider:
65,625204,https://www.udemy.com/course/the-web-developer-bootcamp/,True,Colt Steele,87903,The Web Developer Bootcamp,200,Hi! Welcome to the Web Developer Bootcamp the only course you need to learn web development. There are a lot of options for online developer training but this course is without a doubt the most comprehensive and effective on the market.  Here's why:
66,1011712,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,True,Lazy Programmer Inc.,2784,Bayesian Machine Learning in Python AB Testing,120,This course is all about A/B testing.
67,833442,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,True,Maximilian SchwarzmÃ¼ller,13676,Angular 2 or 4  NodeJS  The Practical MEAN Stack Guide,150,This course is up-to-date to the latest version of Angular (formerly Angular ):Â Angular .
68,913448,https://www.udemy.com/course/python-coding/,True,Kirill Eremenko,9088,Python AZ Python For Data Science With Real Exercises,200,Learn Python Programming by doing!
69,977062,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,True,Jose Portilla,6021,Scala and Spark for Big Data and Machine Learning,195,Learn how to utilize someÂ of the most valuable tech skills on the market todayÂ Scala and Spark! In this course we will show you how to use Scala and Spark to analyze Big Data.
70,1070124,https://www.udemy.com/course/ionic-2-the-practical-guide-to-building-ios-android-apps/,True,Maximilian SchwarzmÃ¼ller,6988,Ionic 2  The Practical Guide to Building iOS  Android Apps,180,Angular  (formerly Angular )Â allows you to create awesome web applications powered by TypeScript /Â JavaScript. Wouldn't it be great to use that AngularÂ knowledge to build web applications that can be compiled intoÂ native mobile apps running on any iOS or Android device?
71,875976,https://www.udemy.com/course/the-complete-cyber-security-course-anonymous-browsing/,True,Nathan House,11911,The Complete Cyber Security Course  Anonymous Browsing,120,nan
72,875974,https://www.udemy.com/course/network-security-course/,True,Nathan House,15713,The Complete Cyber Security Course  Network Security,120,nan
73,877160,https://www.udemy.com/course/comptia-a-certification-901-the-total-course/,True,Mike Meyers - Total Seminars,9096,CompTIA A Certification 901 The Total Course,145,nan
74,39292,https://www.udemy.com/course/advanced-microsoft-excel-2013-online-excel-course/,True,Infinite Skills,40399,Microsoft Excel 2013  Advanced Online Excel Training Course,50, Learn the expert features and functions in Microsoft Excel  alongside our expert author to help you get you beyond the basics and have advanced-level proficiency within the Excel  suite
75,755128,https://www.udemy.com/course/the-complete-react-web-app-developer-course/,True,Andrew Mead,14717,The Complete React Web App Developer Course,85,This course was updated to fix issues relatedÂ to React v.
76,671576,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,True,Frank Kane,30287,Data Science and Machine Learning with Python  Hands On,120,Data Scientists enjoy one of the top-paying jobs with an average salary of $ according to Glassdoor and Indeed. That's just the average! And it's not just about money - it's interesting work too!
77,736456,https://www.udemy.com/course/ninja-writing-the-four-levels-of-writing-mastery/,True,Shani Raja,15340,Ninja Writing The Four Levels Of Writing Mastery,200,FROM THE CREATOR OF THE BESTSELLINGÂ WRITING WITH FLAIR: HOW TO BECOME AN EXCEPTIONAL WRITERÂ COMES THE JEWEL IN THE CROWN OF SHANI RAJA'S WRITING COURSES...
78,821726,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,True,Jose Portilla,10677,Data Science and Machine Learning Bootcamp with R,195,Data Scientist has been ranked the number one job on Glassdoor and the average salary of a data scientist is over $ in the United States according to Indeed! Data Science is a rewarding career that allows you to solve some of the world's most interesting problems!
79,1007240,https://www.udemy.com/course/mspowerbi/,True,Kirill Eremenko,3136,Power BI AZ HandsOn Power BI Training For Data Science,200,Learn data visualization through MicrosoftÂ Power BIÂ and create opportunities for you or key decision makers to discover data patterns such as customer purchase behavior sales trends or production bottlenecks.
80,567828,https://www.udemy.com/course/complete-python-bootcamp/,True,Jose Portilla,90043,Complete Python Bootcamp Go from zero to hero in Python,195,Become a Python Programmer!
81,793796,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,True,Kyle Pew,19243,Microsoft Excel  Excel from Beginner to Advanced,50,Microsoft Excel all in One Package
82,256758,https://www.udemy.com/course/learn-linux-in-5-days/,True,Jason Cannon,42104,Learn Linux in 5 Days and Level Up Your Career,195, JOIN THE OTHER  SUCCESSFUL STUDENTS WHO HAVE ALREADY TAKEN THIS COURSE
83,994402,https://www.udemy.com/course/danrather/,True,Dan Rather,4778,Dan Rather on Journalism  Finding the Truth in the News,150,Whether youâre an avid consumer of the news or just beginning your journalism career renowned news anchor Dan Rather shares his first-hand experiences to guide you through the st century state of journalism.
84,796124,https://www.udemy.com/course/freedom-to-choose-something-different-by-pema-chodron-pt-1/,True,Pema ChÃ¶drÃ¶n,9683,Sounds Trues Freedom to Choose Something Different Part 1,200,This course by renowned Tibetan Buddhist teacher and writer Pema Chodron is designed to help you break free of old habits and negative patterns. These lessons will assist you in accessing your ability to make better choices in your daily life. Youâll understand not only what it means to be hooked to old patterns and habits but also how you can go beyond them. If youâve been struggling with reacting in less than ideal ways to various situations whether you lash out write nasty letters or shut down this course will teach you how to change those patterns and react in a more grounded calm way. Â  Recognize and Release Negative Patterns of Behavior
85,308690,https://www.udemy.com/course/forex-trading/,True,Kirill Eremenko,14639,Forex Trading AZ  With LIVE Examples of Forex Trading,195,Learn everything you need to know to start Trading on the Forex Market today!
86,396876,https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,True,Jose Portilla,44200,Learning Python for Data Analysis and Visualization,195,PLEASEÂ READÂ BEFOREÂ ENROLLING:
87,903744,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,True,Jose Portilla,27896,Python for Data Science and Machine Learning Bootcamp,195,Are you ready to start your path to becoming a Data Scientist!
88,822660,https://www.udemy.com/course/unitycert/,True,Ben Tristem,9779,Pass the Unity Certified Developer Exam  Lifetime Access,195,Want to pass Unity's new Certified Unity Developer exam? Â This course is all you need to prepare for and pass the exam in just one week.
89,1027180,https://www.udemy.com/course/video-production-bootcamp/,True,Phil Ebiner,5356,The Complete Video Production Bootcamp,200,This online video production course will teach you how to make amazing videos whether you use a smartphone webcam DSLR mirrorless or professional camera.
90,929844,https://www.udemy.com/course/start-using-wireshark-to-hack-like-a-pro/,True,Kevin Cardwell,3630,Start Using Wireshark to Hack like a Pro,40,This course will cover the process for conducting protocol analysis. This will serve as a foundation for the skill required for a number of different types of careers. Protocol analysis is the technique of analyzing what is or has taken place on a network. This is used by Security Operations Center analysts as well as network forensics investigators.
91,821658,https://www.udemy.com/course/how-retargeting-works/,True,Isaac Rudansky,6447,How Retargeting WorksThe Complete Guide To Retargeting Ads,175,Hi I'm Isaac Rudansky and welcome to my complete remarketing / retargeting course where you're going to learn how to profitably re-engage with your abandoning website visitors to get them to come back to your site at the right time and with the right message.
92,888716,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,True,Prof. Chris Haroun,8338,Introduction to Finance Accounting Modeling and Valuation,200,"** ACCORDING TO BUSINESS INSIDER: ""Haroun is one of the highest rated professors on Udemy so you can expect to be in good hands through the course of your education."" ** Â He is the author of the best selling business course on Udemy this year calledÂ 'An Entire MBA in  Course'"
93,807904,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,True,Lazy Programmer Inc.,5257,Deep Learning Convolutional Neural Networks in Python,120,This is the rd part in my Data Science and Machine LearningÂ series on Deep Learning in Python. At this point you already know a lot about neural networks and deep learning including not just the basics like backpropagation but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and TensorFlow and you know how to run code using the GPU.
94,764164,https://www.udemy.com/course/the-complete-web-developer-course-2/,True,Rob Percival,98014,The Complete Web Developer Course 20,200,Youâre here because youâre ready to start building professional career-boosting websites.
95,446134,https://www.udemy.com/course/web-developer-course/,True,Brad Hussey,29670,Ultimate Web Designer  Developer Course Build 23 Projects,200,COURSE UPDATEDÂ â  New Lectures!
96,58207,https://www.udemy.com/course/user-experience-design-fundamentals/,True,Joe Natoli,43846,User Experience Design Fundamentals,95,"   Are your web conversion rates low? Do you know whether your web site is effective at meeting your goals?  Do users get ""stuck"" and aren't able to complete the tasks they want to?  Are your forms effective? How can your mobile app be improved?   	    It's becoming easier and easier to create web sites and mobile apps-- But harder and harder to measure the effectiveness of these applications. In Joe Natoli's well-designed course User Experience Design Fundamentals you'll learn how to create effective web sites mobile sites and mobile applications that encourage conversions  	    and leave users wanting more.   	    It's not enough to simply have a web presence -- you must have a web presence that's effective to be successful.  In this dynamic course Joe will guide you through the critical elements of user experience -- strategy scope structure skeleton and surface. As you learn you'll be able to apply the knowledge Joe teaches in dynamic lab exercises-- and later to your own work as a developer or designer.   	    If you're a designer moving into a more complex digital world or a developer who has to occasionally function as a designer as well this course is for you. You'll feel more confident as you make design related decisions about layout color information design and typography after completing this exciting course."
97,555100,https://www.udemy.com/course/ios9-swift/,True,Mark Price,36764,iOS 9 and Swift 2 From Beginner to Paid Professional,45,iOS  and Swift  developers are some of the highest paid coders throughout the planet right now.  There couldn't be a better time to join the world of app development.
98,993480,https://www.udemy.com/course/a-master-class-in-value-creation/,True,Seth Godin,2608,Seth Godins Value Creation Master Class,85,A new course from one of Udemy's most popular teachers.
99,563066,https://www.udemy.com/course/shell-scripting-linux/,True,Jason Cannon,12450,Shell Scripting Discover How to Automate Command Line Tasks,95,JOIN THE OTHER  SUCCESSFUL STUDENTS WHO HAVE ALREADY MASTERED SHELL SCRIPTING AND THE LINUX OPERATING SYSTEM WITH ONE OF MY TOP RATED COURSES!
100,918390,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,True,Lazy Programmer Inc.,4507,Natural Language Processing with Deep Learning in Python,120,In this course we are going to look at advanced NLP.
101,918390,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,True,Lazy Programmer Inc.,4507,Natural Language Processing with Deep Learning in Python,120,In this course we are going to look at advanced NLP.
102,982844,https://www.udemy.com/course/how-to-create-an-empire-on-airbnb-without-owning-a-home/,True,David Vu,3410,How to Create an Empire on Airbnb without Owning a Home,195,From the creator of one of the best top selling courses in the business category we bring you this New Course on Airbnb!
103,887814,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,True,Lazy Programmer Inc.,4686,Deep Learning Recurrent Neural Networks in Python,120,Like the course I just released on Hidden Markov Models Recurrent Neural Networks are all about learning sequences - but whereas Markov Models are limited by the Markov assumption Recurrent Neural Networks are not - and as a result they are more expressive and more powerful than anything weâve seen on tasks that we havenât made progress on in decades.
104,80940,https://www.udemy.com/course/build-website-scratch/,True,Brad Hussey,50780,Build Websites from Scratch with HTML  CSS,145,  	HTML and CSS are the two most important languages for a new web developer to learn. They are also the easiest. If youâve always wanted to build webpages but were intimidated by the code this course will help you learn your first two languages quickly and easily.
105,84792,https://www.udemy.com/course/body-language-for-entrepreneurs/,True,Vanessa Van Edwards,21752,Body Language for Entrepreneurs,200,  	     Do you want to have more business success? Mastering body language is the missing ingredient for many business owners. Nonverbal communication can not only help you be more effective in your business dealings but it can also give you an added edge above competitors.
106,383204,https://www.udemy.com/course/pro-rubyonrails/,True,Mashrur Hossain,17286,The Professional Ruby on Rails Developer,100,** Course updated August !! **
107,904462,https://www.udemy.com/course/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/,True,Stephen Grider,4284,The Complete Elixir and Phoenix Bootcamp,50,Elixir and Phoenix are two of the hottest technologies of .
108,693700,https://www.udemy.com/course/salesforce-administrator/,True,Mike Wheeler,12250,The Complete Salesforce Administrator Certification Course,195,Salesforce is now the th most in-demand ITÂ skill on job postings worldwide. Now is a great time to learn Salesforce and change your career to the cloud.
109,591930,https://www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,True,Jonathan Levi,33900,Become a SuperLearner V2 Learn Speed Reading  Boost Memory,145,One of Udemy's Top Selling Courses of All Time - New & Improved Version . for !
